,Usuario,Texto,Dispositivo,Fecha Creacion,Ubicacion
73,Patricia Campos Alfaro,"RT @GuadalajaraGob: Se aprobó la iniciativa para la implementación de campañas permanentes de sensibilización respecto al maltrato animal,…",Twitter for iPhone,2020-02-22 04:28:23,"Guadalajara, Jalisco"
74,Gobierno de Guadalajara,Se aprobó la iniciativa para la implementación de campañas permanentes de sensibilización respecto al maltrato anim… https://t.co/hGkyTXedTO,Socialbakers,2020-02-22 04:27:08,"Guadalajara, Méx."
75,«~§£¥~»,RT @Zuly_pty: Presidente @NitoCortizo x favor sancione la ley a favor de las mascotas y hagan hospitales veterinarios. No al maltrato anima…,Twitter Web App,2020-02-22 00:58:16,Panama
76,«~§£¥~»,Presidente @NitoCortizo x favor sancione la ley a favor de las mascotas y hagan hospitales veterinarios. No al malt… https://t.co/guH91ixQhA,Twitter Web App,2020-02-22 00:55:37,Panama
77,Laura Michel,"@Spartan_Bobby Por mí, que se lleven de corbata la vida chilanga. Pero te digo, a mí me perdió Chespirito cuando pr… https://t.co/IeDe3k5fGc",Twitter Web App,2020-02-21 23:22:03,"Zapopan, Jalisco, México"
78,Becca Villafañe,"@rossihenriquez No veo a nadie reclamando porque la señora Rossi tiene un loro, que raro si a Richard Linares le re… https://t.co/MgxrxTdGm5",Twitter Web App,2020-02-21 22:54:01,
79,Eban Anaya,"No puedo de verdad con la psicopatología implícita en llamar, tratar y ver como hijos a las mascotas. 

MAIGOS atie… https://t.co/FOwjgD6D2m",Twitter for Android,2020-02-21 17:16:20,Dark Side Of The Moon
80,Mabe,"@Charoli2015 Este cachorrito, traumado para toda la vida. Eso es maltrato psicológico animal Y lo digo en serio
 LA… https://t.co/Vlrk9GdQ75",Twitter for Android,2020-02-21 11:04:30,
81,Irma Rebeca,"RT @SolDeCuernavaca: #ADestacar | Esta es la primera vez que el Tribunal emite la sentencia condenatoria, representando un logro en la luch…",Twitter for Android,2020-02-21 06:56:45,
82,aldama garcia,RT @Tlatoani_mx: #Mascotas Organizaciones y Asociaciones protectoras de animales realizarán en #Toluca una marcha el próximo vienes 28 de f…,Twitter for Android,2020-02-21 03:47:34,
83,Batman,"RT @SolDeCuernavaca: #ADestacar | Esta es la primera vez que el Tribunal emite la sentencia condenatoria, representando un logro en la luch…",Twitter for Android,2020-02-21 03:11:08,
84,Maca T. Vergara,@Erwinfotografo @SitaDiamanda @PDI_CHILE Que terrible... entiendo que es su cultura y que en nuestra cultura son ma… https://t.co/caHVQNFfRb,Twitter for Android,2020-02-21 02:14:13,"Viña del Mar, Chile"
85,Miguel Angel Canepa,"Dejen de hacer tik toks con sus mascotas, los voy a denunciar por maltrato animal",Twitter for iPhone,2020-02-21 02:08:06,Mexico
86,LaPizzaPolitica®,RT @NatalyRendon6: @lapizzatequiere @LaPizzaPolitica Quiero un mundo con más mascotas felices y menos violencia y narco https://t.co/Gzuech…,Twitter Web App,2020-02-23 20:15:18,
87,Nataly Rendon 💯,@lapizzatequiere @LaPizzaPolitica Quiero un mundo con más mascotas felices y menos violencia y narco https://t.co/Gzuechp1mJ,Twitter for Android,2020-02-23 20:13:54,
88,♚,"RT @machucavegetale: Tratamos a ciertos animales con compasión y a otros con crueldad.

Hay alguna diferencia entre los animales que llamam…",Twitter for Android,2020-02-22 19:09:09,"Chaco, Argentina"
89,VALways #DaniLibertad,"RT @machucavegetale: Tratamos a ciertos animales con compasión y a otros con crueldad.

Hay alguna diferencia entre los animales que llamam…",Twitter Web App,2020-02-22 18:48:04,Earth
90,Luzbel Vbiqve,"RT @machucavegetale: Tratamos a ciertos animales con compasión y a otros con crueldad.

Hay alguna diferencia entre los animales que llamam…",Twitter Web App,2020-02-22 18:42:32,Spain
91,Machuca Vegetales ツ,"Tratamos a ciertos animales con compasión y a otros con crueldad.

Hay alguna diferencia entre los animales que lla… https://t.co/C6MiKqigOo",Twitter for Android,2020-02-22 18:38:07,
